iter,x_n,y_n,x_next,y_next,error_norm
0,1.5,3.5,2.179449472,3.402985075,0.686340645
1,2.179449472,3.402985075,1.607285282,2.45162323,1.1101627
2,1.607285282,2.45162323,2.461613712,4.445701443,2.16938355
3,2.461613712,4.445701443,2.461613712,1.684855276,2.760846167
4,2.461613712,1.684855276,2.419201759,4.240317842,2.555814489
5,2.419201759,4.240317842,2.419201759,1.793888328,2.446429514
6,2.419201759,1.793888328,2.37912215,4.065813859,2.272279031
7,2.37912215,4.065813859,0.571779846,1.898784561,2.821790598
8,0.571779846,1.898784561,2.985684722,13.38952162,11.74154909
9,2.985684722,13.38952162,2.985684722,0.471344447,12.91817717
10,2.985684722,0.471344447,2.931333158,10.91565546,10.44445243
11,2.931333158,10.91565546,2.931333158,0.587675708,10.32797975
12,2.931333158,0.587675708,2.87703436,9.241215369,8.653710015
13,2.87703436,9.241215369,2.87703436,0.705778497,8.535436872
14,2.87703436,0.705778497,2.823021611,8.037625156,7.332045609
15,2.823021611,8.037625156,2.823021611,0.825235785,7.212389371
16,2.823021611,0.825235785,2.769538146,7.134832365,6.309823252
17,2.769538146,7.134832365,2.769538146,0.945578299,6.189254065
18,2.769538146,0.945578299,2.716833604,6.435990594,5.490665254
19,2.716833604,6.435990594,2.716833604,1.066286614,5.36970398
20,2.716833604,1.066286614,2.665159788,5.881885602,4.815876223
21,2.665159788,5.881885602,2.665159788,1.186795465,4.695090137
22,2.665159788,1.186795465,2.61476585,5.434265167,4.24776864
23,2.61476585,5.434265167,2.61476585,1.306500624,4.127764543
24,2.61476585,1.306500624,2.56589298,5.067306433,3.761123355
25,2.56589298,5.067306433,2.56589298,1.424768546,3.642537888
26,2.56589298,1.424768546,2.518768824,4.762935008,3.338499067
27,2.518768824,4.762935008,2.518768824,1.540948824,3.221986184
28,2.518768824,1.540948824,2.473601856,4.508109292,2.96750422
29,2.473601856,4.508109292,2.473601856,1.654389235,2.853720057
30,2.473601856,1.654389235,2.430576006,4.293170573,2.639132087
31,2.430576006,4.293170573,2.430576006,1.764452842,2.528717731
32,2.430576006,1.764452842,2.389845865,4.110801173,2.34670182
33,2.389845865,4.110801173,0.419307543,1.870536337,2.983589753
34,0.419307543,1.870536337,3.035732203,16.99975254,15.35378979
35,3.035732203,16.99975254,3.035732203,0.365806492,16.63394605
36,3.035732203,0.365806492,2.98152804,13.15949975,12.79380809
37,2.98152804,13.15949975,2.98152804,0.480176897,12.67932286
38,2.98152804,0.480176897,2.927172547,10.7649078,10.28487454
39,2.927172547,10.7649078,2.927172547,0.596657289,10.16825051
40,2.927172547,0.596657289,2.872887252,9.13526465,8.538779922
41,2.872887252,9.13526465,2.872887252,0.714879153,8.420385497
42,2.872887252,0.714879153,2.818906312,7.959446907,7.244768864
43,2.818906312,7.959446907,2.818906312,0.834421431,7.125025476
44,2.818906312,0.834421431,2.765473587,7.075061107,6.240868418
45,2.765473587,7.075061107,2.765473587,0.954810913,6.120250194
46,2.765473587,0.954810913,2.712839037,6.38905077,5.434494753
47,2.712839037,6.38905077,2.712839037,1.07552448,5.31352629
48,2.712839037,1.07552448,2.661254442,5.844251089,4.769005603
49,2.661254442,5.844251089,2.661254442,1.19599361,4.648257479
50,2.661254442,1.19599361,2.610968535,5.40359656,4.207903428
51,2.610968535,5.40359656,2.610968535,1.315611453,4.087985107
52,2.610968535,1.315611453,2.562221671,5.0419899,3.726697276
53,2.562221671,5.0419899,2.562221671,1.433742699,3.608247201
54,2.562221671,1.433742699,2.515240224,4.741820422,3.308411322
55,2.515240224,4.741820422,2.515240224,1.54973624,3.192084182
56,2.515240224,1.54973624,2.470230975,4.490353968,2.940962165
57,2.470230975,4.490353968,2.470230975,1.662940397,2.827413571
58,2.470230975,1.662940397,2.427375768,4.278142091,2.615552803
59,2.427375768,4.278142091,2.427375768,1.772720151,2.50542194
60,2.427375768,1.772720151,2.386826777,4.09801479,2.325648163
61,2.386826777,4.09801479,0.467705643,1.878475532,2.934174576
62,0.467705643,1.878475532,3.020169928,15.67777143,14.03337597
63,3.020169928,15.67777143,3.020169928,0.398465972,15.27930546
64,3.020169928,0.398465972,2.965900378,12.36360762,11.96526472
65,2.965900378,12.36360762,2.965900378,0.513477961,11.85012966
66,2.965900378,0.513477961,2.911541777,10.23564716,9.722321164
67,2.911541777,10.23564716,2.911541777,0.630499288,9.605147873
68,2.911541777,0.630499288,2.857319545,8.759561488,8.129243033
69,2.857319545,8.759561488,2.857319545,0.74914638,8.010415108
70,2.857319545,0.74914638,2.803470957,7.68023099,6.931293786
71,2.803470957,7.68023099,2.803470957,0.868983064,6.811247926
72,2.803470957,0.868983064,2.750242029,6.860438883,5.991692261
73,2.750242029,6.860438883,2.750242029,0.989521453,5.87091743
74,2.750242029,0.989521453,2.69788371,6.2198077,5.23054831
75,2.69788371,6.2198077,2.69788371,1.110224801,5.109582899
76,2.69788371,1.110224801,2.646647426,5.708121394,4.598182058
77,2.646647426,5.708121394,2.646647426,1.230512716,4.477608677
78,2.646647426,1.230512716,2.596780061,5.292380859,4.062174241
79,2.596780061,5.292380859,2.596780061,1.349769028,3.942611831
80,2.596780061,1.349769028,2.548518531,4.949996397,3.600550831
81,2.548518531,4.949996397,2.548518531,1.467352465,3.482643932
82,2.548518531,1.467352465,2.502084142,4.664971243,3.19795591
83,2.502084142,4.664971243,2.502084142,1.582610093,3.082361149
84,2.502084142,1.582610093,2.45767703,4.425647657,2.843384353
85,2.45767703,4.425647657,2.45767703,1.694893192,2.730754465
86,2.45767703,1.694893192,2.415470955,4.223317095,2.528776144
87,2.415470955,4.223317095,2.415470955,1.803574913,2.419742182
88,2.415470955,1.803574913,2.375608802,4.05133152,2.24811004
89,2.375608802,4.05133152,0.612879417,1.908068812,2.775029715
90,0.612879417,1.908068812,2.971629839,12.64349169,10.99149708
91,2.971629839,12.64349169,2.971629839,0.501251671,12.14224002
92,2.971629839,0.501251671,2.917270227,10.4231368,9.922034041
93,2.917270227,10.4231368,2.917270227,0.618078336,9.805058466
94,2.917270227,0.618078336,2.863022611,8.893320526,8.275419996
95,2.863022611,8.893320526,2.863022611,0.736573684,8.156746842
96,2.863022611,0.736573684,2.809123153,7.779996617,7.043629162
97,2.809123153,7.779996617,2.809123153,0.856307077,6.92368954
98,2.809123153,0.856307077,2.755817114,6.93733122,6.081257778
99,2.755817114,6.93733122,2.755817114,0.976795984,5.960535237
100,2.755817114,0.976795984,2.703355121,6.280567312,5.304030785
101,2.703355121,6.280567312,2.703355121,1.097508606,5.183058706
102,2.703355121,1.097508606,2.65198878,5.757071849,4.659846362
103,2.65198878,5.757071849,2.65198878,1.217868832,4.539203018
104,2.65198878,1.217868832,2.601965704,5.33242355,4.114858787
105,2.601965704,5.33242355,2.601965704,1.337263807,3.995159743
106,2.601965704,1.337263807,2.553524121,4.983151837,3.646209829
107,2.553524121,4.983151837,2.553524121,1.45505432,3.528097518
108,2.553524121,1.45505432,2.506887253,4.692690938,3.237972494
109,2.506887253,4.692690938,2.506887253,1.570587956,3.122102982
110,2.506887253,1.570587956,2.462257719,4.44900245,2.878760462
111,2.462257719,4.44900245,2.462257719,1.683214741,2.765787709
112,2.462257719,1.683214741,2.419812289,4.243115491,2.560252617
113,2.419812289,4.243115491,2.419812289,1.792304654,2.450810837
114,2.419812289,1.792304654,2.379697286,4.068196541,2.276245394
115,2.379697286,4.068196541,0.564733329,1.897266115,2.829670136
116,0.564733329,1.897266115,2.988068037,13.52522311,11.87779167
117,2.988068037,13.52522311,2.988068037,0.4662849,13.05893821
118,2.988068037,0.4662849,2.933719311,11.00413076,10.53798601
119,2.933719311,11.00413076,2.933719311,0.582529673,10.42160109
120,2.933719311,0.582529673,2.879413386,9.303182412,8.720821826
121,2.879413386,9.303182412,2.879413386,0.700563072,8.60261934
122,2.879413386,0.700563072,2.825383038,8.083235133,7.38286977
123,2.825383038,8.083235133,2.825383038,0.819970378,7.263264755
124,2.825383038,0.819970378,2.771871137,7.169638896,6.349894001
125,2.771871137,7.169638896,2.771871137,0.940284582,6.229354314
126,2.771871137,0.940284582,2.719127122,6.463286262,5.523253524
127,2.719127122,6.463286262,2.719127122,1.060988388,5.402297874
128,2.719127122,1.060988388,2.6674028,5.903746007,4.843033839
129,2.6674028,5.903746007,2.6674028,1.181518418,4.72222759
130,2.6674028,1.181518418,2.616947547,5.452063796,4.270843424
